"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'null')",[17]
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Immutable.java')","[22006, 45366, 68752, 92112, 116038, 138928, 161730]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LocalizedMatcher.java')","[8726, 32086, 55472, 78832, 102426, 125980, 148782]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DelegatingMethod.java')","[22566, 45926, 69312, 92672, 116612, 139474, 162276]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VarInsnNode.java')","[1726, 25086, 48472, 71832, 95251, 119155, 141957]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvocationOnMock.java')","[6726, 30086, 53472, 76832, 100376, 124030, 146832]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InOrderImpl.java')","[3406, 26766, 50152, 73512, 96973, 120793, 143595]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Sun13Instantiator.java')","[13086, 36446, 59832, 83192, 106895, 130231, 153033]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassImposterizer.java')","[23726, 47086, 70472, 93832, 117801, 140605, 163407]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AtMost.java')","[6326, 29686, 53072, 76432, 99966, 123640, 146442]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ConsoleSpammingMockitoJUnitRunner.java')","[17166, 40526, 63912, 87272, 111077, 134209, 157011]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ByteVector.java')","[11446, 34806, 58192, 81552, 105214, 128632, 151434]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationDataInOrderImpl.java')","[14286, 37646, 61032, 84392, 108125, 131401, 154203]"
