"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', ""Ere zij de Heer der eng'len,"")","[535254, 535278]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'Praise the Lord from whom')","[32416, 32440]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'En die het hoort zegt: Kom!')","[1305534, 1305558]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'geen leugen werd in U gezien,')","[169910, 169934]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'Tekst  muziek: David Graham')","[138109, 138133]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'Leid ons door uw barmhartigheid')","[1334787, 1334811]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Tekst  muziek: David Ruis. Ned. tekst: Mireille Schaart / Peter van Essen ? Mercy / Vineyard Publishing / Universal Songs.')","[823570, 823594]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', '   ontspringt een lied dat jubelt door de tijd.')","[856743, 856767]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Waar zou ik gaan zonder U,')","[1019962, 1019986]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', ""'Heilig is de Heer'."")","[762271, 762295, 763153, 763177, 764035, 764059, 764770, 764794]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'wat er bitter in mij was.')","[581706, 581730]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'can you believe')","[837633, 837657]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', ""als Richter van 't heelal,"")","[1310483, 1310507]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'van volken in nood die roepen.')","[1098509, 1098533]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'gerust in uw bescherming.          )2x')","[123948, 123972]"
