"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'q')","[95486, 95535]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 't')","[545, 594, 1733, 1782, 1931, 1980, 3416, 3465, 5693, 5742, 6089, 6138, 6881, 6930, 8168, 8217, 8366, 8415, 12623, 12672, 20345, 20394, 25097, 25146, 25889, 25938, 26483, 26532, 29948, 29997, 30047, 30096, 30443, 30492, 30740, 30789, 31631, 31680, 34106, 34155, 34403, 34452, 35393, 35442, 36581, 36630, 40838, 40887, 41432, 41481, 43313, 43362, 46481, 46530, 48461, 48510, 48659, 48708, 48857, 48906, 52025, 52074, 55094, 55143, 56084, 56133, 57173, 57222, 58460, 58509, 59054, 59103, 63113, 63162, 66380, 66429, 67667, 67716, 68558, 68607, 70043, 70092, 71825, 71874, 72122, 72171, 72815, 72864, 73310, 73359, 76379, 76428, 76577, 76626, 77369, 77418, 77963, 78012, 79250, 79299, 79646, 79695, 80042, 80091, 84992, 85041, 85487, 85536, 86378, 86427, 86774, 86823, 88556, 88605, 88754, 88803, 91328, 91377, 91823, 91872, 92615, 92664, 94595, 94644, 97961, 98010, 98555, 98604, 104891, 104940, 106970, 107019, 107861, 107910, 108455, 108504, 108752, 108801, 109742, 109791, 110336, 110385, 110633, 110682, 112514, 112563, 112712, 112761, 113405, 113454, 113900, 113949, 116177, 116226]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'r')","[2723, 2772, 13217, 13266, 19850, 19899, 20543, 20592, 21830, 21879, 24602, 24651, 25295, 25344, 25691, 25740, 26681, 26730, 30146, 30195, 31136, 31185, 31730, 31779, 34007, 34056, 34601, 34650, 36779, 36828, 37076, 37125, 39056, 39105, 39749, 39798, 46184, 46233, 53114, 53163, 59648, 59697, 61331, 61380, 61529, 61578, 62222, 62271, 64301, 64350, 64598, 64647, 73508, 73557, 74993, 75042, 75785, 75834, 81032, 81081, 81725, 81774, 83507, 83556, 87170, 87219, 87962, 88011, 90833, 90882, 91427, 91476, 95288, 95337, 96575, 96624, 97268, 97317, 99050, 99099, 102911, 102960, 103604, 103653, 111128, 111177, 111920, 111969, 114692, 114741]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '1')","[4505, 4554, 4802, 4851, 13712, 13761, 20741, 20790, 21434, 21483, 40541, 40590, 44105, 44154, 82517, 82566, 104396, 104445, 105683, 105732]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'A')","[17375, 17424]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'z')","[83705, 83754, 114890, 114939]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'x')","[42026, 42075]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'F')","[89249, 89298]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'p')","[5495, 5544, 20246, 20295, 22721, 22770, 23810, 23859, 24998, 25047, 31928, 31977, 33809, 33858, 37373, 37422, 38462, 38511, 39155, 39204, 41036, 41085, 52520, 52569, 53213, 53262, 64895, 64944, 67370, 67419, 67865, 67914, 75587, 75636, 80438, 80487, 81131, 81180, 87764, 87813, 94793, 94842, 99347, 99396, 99743, 99792, 102317, 102366, 103010, 103059, 109643, 109692, 111722, 111771, 115583, 115632, 115781, 115830]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', ':')","[18266, 18315, 90041, 90090, 101723, 101772]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'i')","[644, 693, 2030, 2079, 3020, 3069, 3515, 3564, 3713, 3762, 4109, 4158, 5792, 5841, 8465, 8514, 15791, 15840, 19454, 19503, 23216, 23265, 24107, 24156, 24305, 24354, 26285, 26334, 27176, 27225, 28661, 28710, 29057, 29106, 32126, 32175, 33611, 33660, 35096, 35145, 35789, 35838, 39353, 39402, 41333, 41382, 41531, 41580, 46580, 46629, 47174, 47223, 47768, 47817, 48560, 48609, 48956, 49005, 50441, 50490, 50837, 50886, 52124, 52173, 53411, 53460, 56183, 56232, 57074, 57123, 58262, 58311, 58955, 59004, 61628, 61677, 62519, 62568, 63410, 63459, 66182, 66231, 66479, 66528, 68261, 68310, 69746, 69795, 71726, 71775, 72914, 72963, 73607, 73656, 74102, 74151, 75290, 75339, 75884, 75933, 76478, 76527, 76676, 76725, 77567, 77616, 78755, 78804, 79349, 79398, 81329, 81378, 82715, 82764, 83804, 83853, 84002, 84051, 85388, 85437, 86279, 86328, 87467, 87516, 88061, 88110, 88655, 88704, 88853, 88902, 90338, 90387, 90536, 90585, 91130, 91179, 91526, 91575, 91922, 91971, 93506, 93555, 94892, 94941, 95981, 96030, 103208, 103257, 104594, 104643, 107663, 107712, 108356, 108405, 109841, 109890, 110039, 110088, 110237, 110286, 111425, 111474, 112019, 112068, 112613, 112662, 112811, 112860, 113108, 113157, 114197, 114246, 114989, 115038, 115187, 115236, 116276, 116325]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '7')","[13415, 13464, 40442, 40491, 49649, 49698, 82418, 82467, 104297, 104346]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', ',')","[6287, 6336, 8861, 8910, 11831, 11880, 28265, 28314]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '3')","[4406, 4455, 9257, 9306, 40145, 40194, 82121, 82170, 83012, 83061, 104000, 104049]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'U')","[17969, 18018, 101129, 101178]"
