"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:AssignmentResultEvent rdf:type owl:Class ;')","[24711, 56417]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:curvedScore rdf:type owl:FunctionalProperty ;')","[30301, 62222]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:NeedsGrading rdf:type po:ResultStatus ;')","[32563, 64571]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    ""assignmentType"" : ""po:assignmentType"",')","[18991, 50477]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '@prefix owl: <http://www.w3.org/2002/07/owl#> .')","[11373, 16781, 17249, 17743, 21461, 42566, 48182, 48668, 49181, 53042]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .')","[11477, 16833, 17301, 17795, 21565, 42674, 48236, 48722, 49235, 53150]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '{')","[18289, 49748]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:normalScore;')","[24139, 55823]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:gradebookItem rdf:type owl:FunctionalProperty ;')","[29521, 61412]"
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://jena.hpl.hp.com/schemas/2003/03/ont-manager#cacheModels')",[7907]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:totalMaximum;')","[25699, 57443]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    ""Thing"" : ""owl:Thing"",')","[18887, 50369]"
